session_id,ocr_ms,qwen_ms,gemma_ms,total_ms,hide_count,keep_count,unsure_count
B-001-retail-receipt,115,8071,8290,16361,4,13,0
B-002-retail-receipt,109,8273,8353,16626,4,14,0
B-003-retail-receipt,130,8395,6071,14466,3,14,0
B-004-bank-statement,206,17270,11166,28436,13,25,0
B-005-bank-statement,198,17078,9862,26940,15,21,0
B-006-bank-statement,203,16817,12206,29023,9,26,0
B-007-hospital-bill,149,9050,10307,19357,8,12,0
B-008-hospital-bill,154,8689,7919,16608,4,15,0
B-009-hospital-bill,179,10181,11418,21599,6,14,0
B-010-id-card,125,4501,4995,9496,2,5,0
B-011-id-card,126,3913,4989,8902,3,4,0
B-012-id-card,107,3930,4647,8577,3,4,0
B-013-salary-slip,148,11871,9161,21032,8,15,0
B-014-salary-slip,162,11698,9662,21360,9,14,0
B-015-salary-slip,163,11776,10534,22310,10,13,0
B-016-gov-form,181,12326,13376,25702,12,13,0
B-017-gov-form,178,12225,10072,22297,5,20,0
B-018-gov-form,191,12264,11089,23353,9,16,0
B-019-utility-bill,159,9113,6768,15881,3,13,0
B-020-utility-bill,147,8537,7272,15809,5,12,0
B-021-utility-bill,141,8198,9171,17369,3,13,0
B-022-screenshot,141,4267,6750,11017,4,4,0
B-023-screenshot,156,4223,5383,9606,4,4,0
B-024-screenshot,141,4241,7101,11342,4,4,0
B-025-handwritten,102,3195,4146,7341,3,1,0
B-026-handwritten,106,3308,5442,8750,2,3,0
B-027-handwritten,105,3034,4685,7719,3,1,0
B-028-business-card,111,3996,7123,11119,4,3,0
B-029-business-card,101,3457,6291,9748,4,3,0
B-030-business-card,106,4137,6825,10962,3,4,0
